 ,Mean(CBpeduncle),Mean(RP1column),Mean(stimu)
962,24.161,40.341,94.875
963,23.667,40.215,94.833
964,23.329,40.368,94.625
965,23.359,40.463,94.875
966,22.876,40.249,94.875
967,22.616,40.246,94.750
968,22.350,39.966,94.875
969,22.054,40.159,94.875
970,21.797,40.317,94.792
971,21.561,40.022,94.708
972,21.444,40.388,95.208
973,21.098,40.361,94.958
974,20.821,40.241,95.083
975,20.674,40.410,95.292
976,20.587,40.363,95.083
977,20.375,40.239,94.917
978,20.389,40.059,94.833
979,20.076,40.354,94.667
980,19.964,40.451,94.625
981,19.986,40.161,94.875
982,19.594,40.337,94.917
983,19.529,40.217,94.625
984,19.467,40.266,94.542
985,19.467,40.232,94.542
986,19.319,39.998,94.625
987,19.142,40.329,95.125
988,18.943,40.005,94.875
989,18.946,40.315,94.917
990,18.833,39.985,94.875
