 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
473,37.585,27.659,36.250
474,37.629,27.654,36.167
475,37.600,27.552,35.417
476,37.560,27.475,35.583
477,37.523,27.243,35.917
478,37.444,27.382,36.250
479,37.509,27.330,36.250
480,37.363,27.191,36.167
481,37.291,27.118,36.167
482,37.269,27.100,35.750
483,37.209,27.051,35.833
484,37.106,26.956,36.083
485,37.158,27.052,36.083
486,37.176,27.121,35.583
487,37.078,27.056,35.917
488,36.997,26.908,35.583
489,36.989,26.926,35.583
490,36.868,27.057,35.583
491,36.879,26.884,35.583
492,36.753,26.843,35.583
493,36.787,26.888,35.583
494,36.736,26.810,35.583
495,36.758,26.820,35.583
496,36.654,26.719,36.417
497,36.608,26.803,38.083
498,36.634,26.902,42.917
499,36.568,26.861,49.083
500,36.415,26.723,51.750
501,36.505,26.746,54.917
502,36.332,26.772,60.250
503,36.526,27.229,64.250
504,36.550,27.118,64.250
505,36.561,27.199,64.583
506,36.420,27.054,64.583
507,36.398,27.043,64.333
508,36.471,27.016,64.333
509,36.436,27.032,64.333
510,36.319,26.974,64.333
511,36.285,26.808,64.333
512,36.260,26.846,64.333
513,36.267,26.911,64.333
514,36.220,26.910,64.333
515,36.056,26.785,64.333
516,36.001,26.842,64.333
517,35.982,26.736,64.333
518,35.907,26.748,64.167
519,35.687,26.686,64.167
520,35.480,26.674,64.167
521,35.340,26.651,64.167
522,35.166,26.584,64.167
523,34.971,26.526,64.167
524,34.864,26.517,64.167
525,34.851,26.617,64.167
526,34.661,26.395,64.167
527,34.669,26.734,64.167
528,34.713,26.823,64.167
529,34.589,26.702,64.167
530,34.461,26.544,64.583
531,34.445,26.563,64.583
532,34.419,26.483,64.583
533,34.372,26.521,64.583
534,34.263,26.370,64.583
535,34.194,26.404,64.583
536,34.121,26.398,64.583
537,34.056,26.386,64.583
538,33.956,26.349,64.583
539,33.922,26.217,64.583
540,33.882,26.335,65.083
541,33.896,26.213,65.750
542,33.902,26.260,65.750
543,33.988,26.426,65.750
544,33.945,26.384,64.917
545,33.859,26.365,64.083
546,33.717,26.216,64.083
547,33.650,26.385,64.083
548,33.693,26.421,64.083
549,33.616,26.269,66.000
550,33.545,26.285,66.000
551,33.515,26.213,66.667
552,33.418,26.129,66.583
553,33.455,26.124,66.417
554,33.524,26.243,66.083
555,33.471,26.224,65.583
556,33.518,26.226,65.583
557,33.367,26.103,65.583
558,33.460,26.076,66.000
559,33.372,26.125,64.667
560,33.391,26.090,66.083
561,33.373,26.012,66.083
562,33.442,26.049,66.583
563,33.445,26.059,65.583
564,33.354,26.024,66.167
565,33.395,25.975,66.083
566,33.468,25.913,66.250
567,33.427,25.970,65.917
568,33.451,26.053,65.917
569,33.674,29.357,66.167
570,33.870,31.336,66.167
571,33.860,30.622,65.583
572,33.914,29.895,65.833
573,34.044,29.274,66.000
574,34.071,28.947,66.083
575,34.283,31.392,66.750
576,34.454,31.314,66.500
577,34.727,32.553,66.167
578,34.811,31.780,66.000
579,34.936,32.654,66.167
580,34.864,32.559,66.167
581,34.853,32.411,65.833
582,34.908,32.559,64.833
583,34.840,32.306,64.833
584,34.581,31.539,64.833
585,34.819,32.052,64.583
586,34.763,31.967,64.917
587,34.712,31.376,64.917
588,34.753,32.093,64.667
589,34.747,31.543,64.500
590,34.526,30.826,64.500
591,34.700,31.909,64.500
592,34.704,31.539,64.500
593,34.782,30.816,64.500
594,34.908,31.962,64.500
595,34.753,31.606,64.500
596,34.560,30.829,64.500
597,34.598,30.215,64.500
598,34.910,31.834,64.500
599,34.707,31.172,64.667
600,34.666,30.708,64.667
601,34.574,30.266,64.667
602,34.756,31.589,64.667
603,34.567,31.041,64.667
604,34.434,30.414,64.667
605,34.311,29.845,64.667
606,34.557,31.392,64.667
607,34.366,30.943,64.667
608,34.315,30.301,64.667
609,34.172,29.775,64.667
610,34.129,29.129,64.667
611,34.023,28.864,64.667
612,33.968,28.497,64.500
613,33.936,28.277,64.750
614,33.930,28.055,64.667
615,33.800,27.791,64.750
616,33.828,27.690,64.750
617,33.767,27.502,64.750
618,33.795,27.421,64.750
619,33.673,27.090,64.417
620,33.615,27.179,64.667
621,33.531,27.049,64.667
622,33.647,27.027,64.083
623,33.748,27.008,64.083
624,33.810,26.967,64.083
625,33.767,26.934,64.083
626,33.667,26.707,64.083
627,33.737,26.754,64.083
628,33.810,26.711,64.083
629,33.775,26.729,64.083
630,33.819,26.699,64.083
631,33.648,26.477,64.167
632,33.600,26.543,64.083
633,33.631,26.505,64.083
634,33.527,26.507,64.083
635,33.518,26.411,64.167
636,33.566,26.414,64.083
637,33.430,26.351,64.250
638,33.390,26.278,64.083
639,33.477,26.219,64.083
640,33.450,26.361,62.417
641,33.393,26.237,58.083
642,33.387,26.239,52.583
643,33.464,26.251,49.250
644,33.389,26.139,45.500
645,33.380,26.180,40.167
646,33.392,26.220,37.750
647,33.452,26.312,35.917
648,33.378,26.219,38.917
649,33.312,26.103,38.750
650,33.388,26.193,39.750
651,33.406,26.271,39.667
652,33.355,26.223,38.083
653,33.253,26.172,38.000
654,33.542,30.434,38.000
655,33.593,31.131,39.750
656,33.459,30.346,39.917
657,33.539,29.810,39.500
658,33.563,29.108,39.333
659,33.570,28.701,38.083
660,33.460,28.115,35.500
661,33.433,27.803,35.250
662,33.653,27.721,35.417
663,33.946,27.617,35.417
664,34.230,27.561,35.917
665,34.333,27.462,35.917
666,34.478,27.488,36.083
667,35.190,32.963,35.417
668,35.658,33.539,35.250
669,35.857,33.350,35.250
670,35.945,33.050,35.250
671,35.894,32.384,35.250
672,35.902,32.117,35.250
673,35.853,31.668,35.250
674,35.873,31.423,35.250
675,35.859,31.090,35.250
676,35.676,30.710,35.250
677,35.711,30.359,35.583
678,35.691,30.255,35.250
679,35.618,29.959,35.667
680,35.592,29.760,35.750
681,35.591,29.521,35.750
682,35.617,29.367,35.583
683,35.580,29.226,35.583
684,35.521,29.085,35.250
685,35.503,28.964,35.333
686,35.411,28.928,35.250
687,35.431,28.776,35.250
688,35.417,28.544,35.250
689,35.449,28.571,35.917
690,35.344,28.441,35.833
691,35.243,28.560,36.000
692,35.363,28.707,36.000
693,35.312,28.667,36.000
694,35.290,28.688,36.000
695,35.186,28.446,36.000
696,35.246,28.527,36.000
697,35.314,28.470,36.000
698,35.183,28.441,36.000
699,35.098,28.368,36.000
700,35.166,28.307,36.000
701,35.155,28.228,36.000
702,35.069,28.291,35.917
703,35.120,28.185,36.000
704,35.188,28.261,35.917
705,35.124,28.314,36.000
706,35.081,28.224,35.917
707,35.166,28.424,35.417
708,35.359,28.605,36.000
709,35.324,28.539,36.000
710,35.428,28.538,36.000
711,35.262,28.409,36.000
712,35.319,28.524,35.667
713,35.297,28.349,35.500
714,35.281,28.381,35.833
715,35.208,28.350,35.750
716,35.173,28.301,35.750
717,35.195,28.314,35.917
718,35.038,28.189,35.750
719,35.115,28.290,35.833
720,35.097,28.310,35.833
721,35.119,28.351,35.833
722,34.985,28.286,35.833
723,35.034,28.250,35.833
724,35.018,28.320,35.917
725,34.960,28.320,35.667
726,34.947,28.307,35.250
727,35.068,28.500,35.667
728,35.024,28.466,36.333
729,35.013,28.530,35.667
730,34.954,28.569,36.083
731,35.037,28.600,36.500
732,35.012,28.642,35.833
733,34.983,28.622,35.667
734,34.943,28.676,35.667
735,34.907,28.689,35.833
736,34.930,28.598,35.667
737,35.021,28.783,35.833
738,34.994,28.824,35.833
739,35.040,28.776,35.833
740,35.012,28.846,35.833
741,34.879,28.717,35.833
742,35.175,29.342,35.833
743,35.270,29.350,35.833
744,35.560,29.417,35.833
745,35.592,29.342,35.833
746,35.618,29.390,35.833
747,35.610,29.251,36.000
748,35.620,29.316,36.000
749,35.519,29.251,36.000
750,35.491,29.063,36.000
751,35.412,29.048,35.833
752,35.387,28.983,36.417
753,35.321,28.916,36.500
754,35.357,28.934,36.250
755,35.261,28.935,35.583
756,35.299,28.826,35.667
757,35.259,28.822,35.583
758,35.230,28.816,35.833
759,35.113,28.691,35.583
760,35.136,28.644,35.417
761,35.126,28.756,35.417
762,35.189,28.709,35.417
763,35.196,28.638,35.333
764,35.034,28.596,35.583
765,35.089,28.629,35.833
766,35.092,28.609,35.583
767,35.117,28.577,35.583
768,35.023,28.457,35.750
769,35.052,28.477,35.417
770,35.076,28.492,36.000
771,35.066,28.412,35.833
772,35.027,28.383,35.917
773,35.031,28.471,35.667
774,35.035,28.411,35.583
775,35.027,28.443,35.667
776,35.014,28.464,35.583
777,35.080,28.349,35.750
778,35.027,28.368,35.750
779,35.047,28.379,35.750
780,34.976,28.368,35.750
781,34.959,28.317,35.417
782,34.953,28.284,35.750
783,34.875,28.215,36.083
784,35.004,28.342,36.083
785,35.021,28.599,36.083
786,35.166,28.786,36.083
787,35.126,28.672,36.083
788,35.198,28.745,35.750
789,35.232,28.635,36.083
790,35.113,28.530,36.083
791,35.038,28.447,36.083
792,35.010,28.390,36.083
793,34.995,28.275,36.417
794,35.003,28.375,36.083
795,34.945,28.138,36.083
796,34.978,28.212,35.250
797,34.884,28.100,35.750
798,34.999,28.160,35.750
799,34.856,27.987,35.750
800,34.957,28.042,35.833
801,34.883,28.030,36.167
